Unique_ID,Tree_ID,Treatment,Stand,MOE
DESTR_MNG_01,Tree_01,Destructive,Managed,14.958
DESTR_MNG_02,Tree_02,Destructive,Managed,NA
DESTR_MNG_03,Tree_03,Destructive,Managed,13.994
DESTR_MNG_04,Tree_04,Destructive,Managed,NA
DESTR_MNG_05,Tree_05,Destructive,Managed,NA
DESTR_MNG_06,Tree_06,Destructive,Managed,13.592
DESTR_MNG_07,Tree_07,Destructive,Managed,NA
DESTR_MNG_08,Tree_08,Destructive,Managed,13.26
DESTR_MNG_09,Tree_09,Destructive,Managed,NA
DESTR_MNG_10,Tree_10,Destructive,Managed,NA
DESTR_MNG_11,Tree_11,Destructive,Managed,14.38
DESTR_MNG_12,Tree_12,Destructive,Managed,NA
DESTR_MNG_13,Tree_13,Destructive,Managed,13.723
DESTR_MNG_14,Tree_14,Destructive,Managed,NA
DESTR_MNG_15,Tree_15,Destructive,Managed,NA
DESTR_MNG_16,Tree_16,Destructive,Managed,NA
DESTR_MNG_17,Tree_17,Destructive,Managed,NA
DESTR_MNG_18,Tree_18,Destructive,Managed,NA
DESTR_MNG_19,Tree_19,Destructive,Managed,NA
DESTR_MNG_20,Tree_20,Destructive,Managed,11.919
DESTR_MNG_21,Tree_21,Destructive,Managed,NA
DESTR_MNG_22,Tree_22,Destructive,Managed,NA
DESTR_MNG_23,Tree_23,Destructive,Managed,NA
DESTR_MNG_24,Tree_24,Destructive,Managed,NA
DESTR_MNG_25,Tree_25,Destructive,Managed,12.801
DESTR_MNG_26,Tree_26,Destructive,Managed,NA
DESTR_MNG_27,Tree_27,Destructive,Managed,13.099
DESTR_MNG_28,Tree_28,Destructive,Managed,NA
DESTR_MNG_29,Tree_29,Destructive,Managed,NA
DESTR_MNG_30,Tree_30,Destructive,Managed,NA
DESTR_MNG_31,Tree_31,Destructive,Managed,NA
DESTR_MNG_32,Tree_32,Destructive,Managed,10.187
DESTR_MNG_33,Tree_33,Destructive,Managed,NA
DESTR_MNG_34,Tree_34,Destructive,Managed,NA
DESTR_MNG_35,Tree_35,Destructive,Managed,17.629
DESTR_MNG_36,Tree_36,Destructive,Managed,12.193
DESTR_MNG_37,Tree_37,Destructive,Managed,15.019
DESTR_MNG_38,Tree_38,Destructive,Managed,13.305
DESTR_MNG_39,Tree_39,Destructive,Managed,NA
DESTR_MNG_40,Tree_40,Destructive,Managed,15.654
DESTR_MNG_41,Tree_41,Destructive,Managed,NA
DESTR_MNG_42,Tree_42,Destructive,Managed,NA
DESTR_MNG_43,Tree_43,Destructive,Managed,14.71
DESTR_MNG_44,Tree_44,Destructive,Managed,NA
DESTR_MNG_45,Tree_45,Destructive,Managed,NA
DESTR_MNG_46,Tree_46,Destructive,Managed,NA
DESTR_MNG_47,Tree_47,Destructive,Managed,NA
DESTR_MNG_48,Tree_48,Destructive,Managed,13.337
DESTR_MNG_49,Tree_49,Destructive,Managed,NA
DESTR_MNG_50,Tree_50,Destructive,Managed,14.655
DESTR_MNG_51,Tree_51,Destructive,Managed,NA
DESTR_MNG_52,Tree_52,Destructive,Managed,NA
DESTR_MNG_53,Tree_53,Destructive,Managed,NA
DESTR_MNG_54,Tree_54,Destructive,Managed,NA
DESTR_MNG_55,Tree_55,Destructive,Managed,NA
DESTR_MNG_56,Tree_56,Destructive,Managed,NA
DESTR_MNG_57,Tree_57,Destructive,Managed,NA
DESTR_MNG_58,Tree_58,Destructive,Managed,NA
DESTR_MNG_59,Tree_59,Destructive,Managed,NA
DESTR_MNG_60,Tree_60,Destructive,Managed,NA
DESTR_UMNG_01,Tree_01,Destructive,Unmanaged,16.391
DESTR_UMNG_02,Tree_02,Destructive,Unmanaged,NA
DESTR_UMNG_03,Tree_03,Destructive,Unmanaged,NA
DESTR_UMNG_04,Tree_04,Destructive,Unmanaged,16.039
DESTR_UMNG_05,Tree_05,Destructive,Unmanaged,NA
DESTR_UMNG_06,Tree_06,Destructive,Unmanaged,NA
DESTR_UMNG_07,Tree_07,Destructive,Unmanaged,11.154
DESTR_UMNG_08,Tree_08,Destructive,Unmanaged,NA
DESTR_UMNG_09,Tree_09,Destructive,Unmanaged,NA
DESTR_UMNG_10,Tree_10,Destructive,Unmanaged,NA
DESTR_UMNG_11,Tree_11,Destructive,Unmanaged,14.497
DESTR_UMNG_12,Tree_12,Destructive,Unmanaged,NA
DESTR_UMNG_13,Tree_13,Destructive,Unmanaged,16.586
DESTR_UMNG_14,Tree_14,Destructive,Unmanaged,NA
DESTR_UMNG_15,Tree_15,Destructive,Unmanaged,16.288
DESTR_UMNG_16,Tree_16,Destructive,Unmanaged,12.687
DESTR_UMNG_17,Tree_17,Destructive,Unmanaged,17.992
DESTR_UMNG_18,Tree_18,Destructive,Unmanaged,NA
DESTR_UMNG_19,Tree_19,Destructive,Unmanaged,NA
DESTR_UMNG_20,Tree_20,Destructive,Unmanaged,NA
DESTR_UMNG_21,Tree_21,Destructive,Unmanaged,NA
DESTR_UMNG_22,Tree_22,Destructive,Unmanaged,NA
DESTR_UMNG_23,Tree_23,Destructive,Unmanaged,14.966
DESTR_UMNG_24,Tree_24,Destructive,Unmanaged,NA
DESTR_UMNG_25,Tree_25,Destructive,Unmanaged,15.305
DESTR_UMNG_26,Tree_26,Destructive,Unmanaged,NA
DESTR_UMNG_27,Tree_27,Destructive,Unmanaged,16.837
DESTR_UMNG_28,Tree_28,Destructive,Unmanaged,15.053
DESTR_UMNG_29,Tree_29,Destructive,Unmanaged,NA
DESTR_UMNG_30,Tree_30,Destructive,Unmanaged,NA
DESTR_UMNG_31,Tree_31,Destructive,Unmanaged,NA
DESTR_UMNG_32,Tree_32,Destructive,Unmanaged,16.976
DESTR_UMNG_33,Tree_33,Destructive,Unmanaged,NA
DESTR_UMNG_34,Tree_34,Destructive,Unmanaged,NA
DESTR_UMNG_35,Tree_35,Destructive,Unmanaged,16.025
DESTR_UMNG_36,Tree_36,Destructive,Unmanaged,NA
DESTR_UMNG_37,Tree_37,Destructive,Unmanaged,NA
DESTR_UMNG_38,Tree_38,Destructive,Unmanaged,NA
DESTR_UMNG_39,Tree_39,Destructive,Unmanaged,17.821
DESTR_UMNG_40,Tree_40,Destructive,Unmanaged,15.637
DESTR_UMNG_41,Tree_41,Destructive,Unmanaged,17.777
DESTR_UMNG_42,Tree_42,Destructive,Unmanaged,NA
DESTR_UMNG_43,Tree_43,Destructive,Unmanaged,NA
DESTR_UMNG_44,Tree_44,Destructive,Unmanaged,15.644
DESTR_UMNG_45,Tree_45,Destructive,Unmanaged,NA
DESTR_UMNG_46,Tree_46,Destructive,Unmanaged,NA
DESTR_UMNG_47,Tree_47,Destructive,Unmanaged,NA
DESTR_UMNG_48,Tree_48,Destructive,Unmanaged,NA
DESTR_UMNG_49,Tree_49,Destructive,Unmanaged,NA
DESTR_UMNG_50,Tree_50,Destructive,Unmanaged,NA
DESTR_UMNG_51,Tree_51,Destructive,Unmanaged,NA
DESTR_UMNG_52,Tree_52,Destructive,Unmanaged,NA
DESTR_UMNG_53,Tree_53,Destructive,Unmanaged,NA
DESTR_UMNG_54,Tree_54,Destructive,Unmanaged,NA
DESTR_UMNG_55,Tree_55,Destructive,Unmanaged,NA
DESTR_UMNG_56,Tree_56,Destructive,Unmanaged,NA
DESTR_UMNG_57,Tree_57,Destructive,Unmanaged,NA
DESTR_UMNG_58,Tree_58,Destructive,Unmanaged,NA
DESTR_UMNG_59,Tree_59,Destructive,Unmanaged,NA
DESTR_UMNG_60,Tree_60,Destructive,Unmanaged,NA
TS_MNG_01,Tree_01,TreeSonic,Managed,9.64
TS_MNG_02,Tree_02,TreeSonic,Managed,9.95
TS_MNG_03,Tree_03,TreeSonic,Managed,11.4
TS_MNG_04,Tree_04,TreeSonic,Managed,11.3
TS_MNG_05,Tree_05,TreeSonic,Managed,11.44
TS_MNG_06,Tree_06,TreeSonic,Managed,10.53
TS_MNG_07,Tree_07,TreeSonic,Managed,9.78
TS_MNG_08,Tree_08,TreeSonic,Managed,10.66
TS_MNG_09,Tree_09,TreeSonic,Managed,11.12
TS_MNG_10,Tree_10,TreeSonic,Managed,10.37
TS_MNG_11,Tree_11,TreeSonic,Managed,9.67
TS_MNG_12,Tree_12,TreeSonic,Managed,9.72
TS_MNG_13,Tree_13,TreeSonic,Managed,10.5
TS_MNG_14,Tree_14,TreeSonic,Managed,7.92
TS_MNG_15,Tree_15,TreeSonic,Managed,9.37
TS_MNG_16,Tree_16,TreeSonic,Managed,11.44
TS_MNG_17,Tree_17,TreeSonic,Managed,10.66
TS_MNG_18,Tree_18,TreeSonic,Managed,9.64
TS_MNG_19,Tree_19,TreeSonic,Managed,11.16
TS_MNG_20,Tree_20,TreeSonic,Managed,11.19
TS_MNG_21,Tree_21,TreeSonic,Managed,12.27
TS_MNG_22,Tree_22,TreeSonic,Managed,11.73
TS_MNG_23,Tree_23,TreeSonic,Managed,10.66
TS_MNG_24,Tree_24,TreeSonic,Managed,9.67
TS_MNG_25,Tree_25,TreeSonic,Managed,11.69
TS_MNG_26,Tree_26,TreeSonic,Managed,10.01
TS_MNG_27,Tree_27,TreeSonic,Managed,12.11
TS_MNG_28,Tree_28,TreeSonic,Managed,6.88
TS_MNG_29,Tree_29,TreeSonic,Managed,8.57
TS_MNG_30,Tree_30,TreeSonic,Managed,11.02
TS_MNG_31,Tree_31,TreeSonic,Managed,9.29
TS_MNG_32,Tree_32,TreeSonic,Managed,12.47
TS_MNG_33,Tree_33,TreeSonic,Managed,9.48
TS_MNG_34,Tree_34,TreeSonic,Managed,11.37
TS_MNG_35,Tree_35,TreeSonic,Managed,12.23
TS_MNG_36,Tree_36,TreeSonic,Managed,10.66
TS_MNG_37,Tree_37,TreeSonic,Managed,9.32
TS_MNG_38,Tree_38,TreeSonic,Managed,9.42
TS_MNG_39,Tree_39,TreeSonic,Managed,10.82
TS_MNG_40,Tree_40,TreeSonic,Managed,9.78
TS_MNG_41,Tree_41,TreeSonic,Managed,11.51
TS_MNG_42,Tree_42,TreeSonic,Managed,9.29
TS_MNG_43,Tree_43,TreeSonic,Managed,10.5
TS_MNG_44,Tree_44,TreeSonic,Managed,11.88
TS_MNG_45,Tree_45,TreeSonic,Managed,10.4
TS_MNG_46,Tree_46,TreeSonic,Managed,11.3
TS_MNG_47,Tree_47,TreeSonic,Managed,10.66
TS_MNG_48,Tree_48,TreeSonic,Managed,9.58
TS_MNG_49,Tree_49,TreeSonic,Managed,10.13
TS_MNG_50,Tree_50,TreeSonic,Managed,11.47
TS_UMNG_01,Tree_01,TreeSonic,Unmanaged,9.42
TS_UMNG_02,Tree_02,TreeSonic,Unmanaged,11.26
TS_UMNG_03,Tree_03,TreeSonic,Unmanaged,10.56
TS_UMNG_04,Tree_04,TreeSonic,Unmanaged,9.21
TS_UMNG_05,Tree_05,TreeSonic,Unmanaged,9.64
TS_UMNG_06,Tree_06,TreeSonic,Unmanaged,10.56
TS_UMNG_07,Tree_07,TreeSonic,Unmanaged,10.75
TS_UMNG_08,Tree_08,TreeSonic,Unmanaged,7.06
TS_UMNG_09,Tree_09,TreeSonic,Unmanaged,12.19
TS_UMNG_10,Tree_10,TreeSonic,Unmanaged,12.27
TS_UMNG_11,Tree_11,TreeSonic,Unmanaged,11.02
TS_UMNG_12,Tree_12,TreeSonic,Unmanaged,9.18
TS_UMNG_13,Tree_13,TreeSonic,Unmanaged,12.19
TS_UMNG_14,Tree_14,TreeSonic,Unmanaged,10.47
TS_UMNG_15,Tree_15,TreeSonic,Unmanaged,10.5
TS_UMNG_16,Tree_16,TreeSonic,Unmanaged,9.89
TS_UMNG_17,Tree_17,TreeSonic,Unmanaged,9.53
TS_UMNG_18,Tree_18,TreeSonic,Unmanaged,9.42
TS_UMNG_19,Tree_19,TreeSonic,Unmanaged,10.66
TS_UMNG_20,Tree_20,TreeSonic,Unmanaged,10.4
TS_UMNG_21,Tree_21,TreeSonic,Unmanaged,9.78
TS_UMNG_22,Tree_22,TreeSonic,Unmanaged,10.56
TS_UMNG_23,Tree_23,TreeSonic,Unmanaged,9.58
TS_UMNG_24,Tree_24,TreeSonic,Unmanaged,10.56
TS_UMNG_25,Tree_25,TreeSonic,Unmanaged,9.56
TS_UMNG_26,Tree_26,TreeSonic,Unmanaged,10.99
TS_UMNG_27,Tree_27,TreeSonic,Unmanaged,11.16
TS_UMNG_28,Tree_28,TreeSonic,Unmanaged,10.75
TS_UMNG_29,Tree_29,TreeSonic,Unmanaged,10.47
TS_UMNG_30,Tree_30,TreeSonic,Unmanaged,10.47
TS_UMNG_31,Tree_31,TreeSonic,Unmanaged,10.75
TS_UMNG_32,Tree_32,TreeSonic,Unmanaged,10.37
TS_UMNG_33,Tree_33,TreeSonic,Unmanaged,10.04
TS_UMNG_34,Tree_34,TreeSonic,Unmanaged,10.53
TS_UMNG_35,Tree_35,TreeSonic,Unmanaged,10.53
TS_UMNG_36,Tree_36,TreeSonic,Unmanaged,12.39
TS_UMNG_37,Tree_37,TreeSonic,Unmanaged,12.19
TS_UMNG_38,Tree_38,TreeSonic,Unmanaged,12.64
TS_UMNG_39,Tree_39,TreeSonic,Unmanaged,11.23
TS_UMNG_40,Tree_40,TreeSonic,Unmanaged,11.19
TS_UMNG_41,Tree_41,TreeSonic,Unmanaged,10.28
TS_UMNG_42,Tree_42,TreeSonic,Unmanaged,12.51
TS_UMNG_43,Tree_43,TreeSonic,Unmanaged,12.19
TS_UMNG_44,Tree_44,TreeSonic,Unmanaged,12.68
TS_UMNG_45,Tree_45,TreeSonic,Unmanaged,10.95
TS_UMNG_46,Tree_46,TreeSonic,Unmanaged,11.4
TS_UMNG_47,Tree_47,TreeSonic,Unmanaged,12.03
TS_UMNG_48,Tree_48,TreeSonic,Unmanaged,11.58
TS_UMNG_49,Tree_49,TreeSonic,Unmanaged,13.56
TS_UMNG_50,Tree_50,TreeSonic,Unmanaged,11.96
RG_MNG_01,Tree_01,Resistrograph,Managed,10.03
RG_MNG_02,Tree_02,Resistrograph,Managed,16.52
RG_MNG_03,Tree_03,Resistrograph,Managed,13.84
RG_MNG_04,Tree_04,Resistrograph,Managed,11.3
RG_MNG_05,Tree_05,Resistrograph,Managed,11.63
RG_MNG_06,Tree_06,Resistrograph,Managed,8.06
RG_MNG_07,Tree_07,Resistrograph,Managed,10.26
RG_MNG_08,Tree_08,Resistrograph,Managed,11.06
RG_MNG_09,Tree_09,Resistrograph,Managed,12.19
RG_MNG_10,Tree_10,Resistrograph,Managed,10.19
RG_MNG_11,Tree_11,Resistrograph,Managed,8.63
RG_MNG_12,Tree_12,Resistrograph,Managed,10.39
RG_MNG_13,Tree_13,Resistrograph,Managed,8.24
RG_MNG_14,Tree_14,Resistrograph,Managed,11.23
RG_MNG_15,Tree_15,Resistrograph,Managed,11.05
RG_MNG_16,Tree_16,Resistrograph,Managed,9.44
RG_MNG_17,Tree_17,Resistrograph,Managed,9.09
RG_MNG_18,Tree_18,Resistrograph,Managed,10.5
RG_MNG_19,Tree_19,Resistrograph,Managed,10.72
RG_MNG_20,Tree_20,Resistrograph,Managed,9.88
RG_MNG_21,Tree_21,Resistrograph,Managed,10.51
RG_MNG_22,Tree_22,Resistrograph,Managed,9.74
RG_MNG_23,Tree_23,Resistrograph,Managed,6.93
RG_MNG_24,Tree_24,Resistrograph,Managed,10.24
RG_MNG_25,Tree_25,Resistrograph,Managed,9.71
RG_MNG_26,Tree_26,Resistrograph,Managed,8.51
RG_MNG_27,Tree_27,Resistrograph,Managed,13.91
RG_MNG_28,Tree_28,Resistrograph,Managed,9.52
RG_MNG_29,Tree_29,Resistrograph,Managed,7.08
RG_MNG_30,Tree_30,Resistrograph,Managed,9.41
RG_MNG_31,Tree_31,Resistrograph,Managed,8.82
RG_MNG_32,Tree_32,Resistrograph,Managed,8.47
RG_MNG_33,Tree_33,Resistrograph,Managed,7.92
RG_MNG_34,Tree_34,Resistrograph,Managed,22.01
RG_MNG_35,Tree_35,Resistrograph,Managed,10.13
RG_MNG_36,Tree_36,Resistrograph,Managed,13.94
RG_MNG_37,Tree_37,Resistrograph,Managed,11.73
RG_MNG_38,Tree_38,Resistrograph,Managed,10.36
RG_MNG_39,Tree_39,Resistrograph,Managed,12.29
RG_MNG_40,Tree_40,Resistrograph,Managed,8.73
RG_MNG_41,Tree_41,Resistrograph,Managed,8.34
RG_MNG_42,Tree_42,Resistrograph,Managed,11.15
RG_MNG_43,Tree_43,Resistrograph,Managed,9.19
RG_MNG_44,Tree_44,Resistrograph,Managed,10.82
RG_MNG_45,Tree_45,Resistrograph,Managed,11.06
RG_MNG_46,Tree_46,Resistrograph,Managed,7.03
RG_MNG_47,Tree_47,Resistrograph,Managed,9.81
RG_MNG_48,Tree_48,Resistrograph,Managed,14.01
RG_MNG_49,Tree_49,Resistrograph,Managed,7.18
RG_MNG_50,Tree_50,Resistrograph,Managed,8.92
RG_UMNG_01,Tree_01,Resistrograph,Unmanaged,10.66
RG_UMNG_02,Tree_02,Resistrograph,Unmanaged,12.23
RG_UMNG_03,Tree_03,Resistrograph,Unmanaged,11.82
RG_UMNG_04,Tree_04,Resistrograph,Unmanaged,11.36
RG_UMNG_05,Tree_05,Resistrograph,Unmanaged,6.71
RG_UMNG_06,Tree_06,Resistrograph,Unmanaged,10.71
RG_UMNG_07,Tree_07,Resistrograph,Unmanaged,6.68
RG_UMNG_08,Tree_08,Resistrograph,Unmanaged,6.29
RG_UMNG_09,Tree_09,Resistrograph,Unmanaged,8.46
RG_UMNG_10,Tree_10,Resistrograph,Unmanaged,10.42
RG_UMNG_11,Tree_11,Resistrograph,Unmanaged,14.84
RG_UMNG_12,Tree_12,Resistrograph,Unmanaged,14.11
RG_UMNG_13,Tree_13,Resistrograph,Unmanaged,13.99
RG_UMNG_14,Tree_14,Resistrograph,Unmanaged,15.18
RG_UMNG_15,Tree_15,Resistrograph,Unmanaged,11.79
RG_UMNG_16,Tree_16,Resistrograph,Unmanaged,9.77
RG_UMNG_17,Tree_17,Resistrograph,Unmanaged,15.34
RG_UMNG_18,Tree_18,Resistrograph,Unmanaged,8.52
RG_UMNG_19,Tree_19,Resistrograph,Unmanaged,12.61
RG_UMNG_20,Tree_20,Resistrograph,Unmanaged,10.18
RG_UMNG_21,Tree_21,Resistrograph,Unmanaged,8.09
RG_UMNG_22,Tree_22,Resistrograph,Unmanaged,9.27
RG_UMNG_23,Tree_23,Resistrograph,Unmanaged,8.18
RG_UMNG_24,Tree_24,Resistrograph,Unmanaged,14.51
RG_UMNG_25,Tree_25,Resistrograph,Unmanaged,14.16
RG_UMNG_26,Tree_26,Resistrograph,Unmanaged,11.38
RG_UMNG_27,Tree_27,Resistrograph,Unmanaged,10.76
RG_UMNG_28,Tree_28,Resistrograph,Unmanaged,12.33
RG_UMNG_29,Tree_29,Resistrograph,Unmanaged,11.92
RG_UMNG_30,Tree_30,Resistrograph,Unmanaged,11.46
RG_UMNG_31,Tree_31,Resistrograph,Unmanaged,6.81
RG_UMNG_32,Tree_32,Resistrograph,Unmanaged,10.81
RG_UMNG_33,Tree_33,Resistrograph,Unmanaged,6.78
RG_UMNG_34,Tree_34,Resistrograph,Unmanaged,6.39
RG_UMNG_35,Tree_35,Resistrograph,Unmanaged,8.56
RG_UMNG_36,Tree_36,Resistrograph,Unmanaged,10.52
RG_UMNG_37,Tree_37,Resistrograph,Unmanaged,14.94
RG_UMNG_38,Tree_38,Resistrograph,Unmanaged,14.21
RG_UMNG_39,Tree_39,Resistrograph,Unmanaged,14.09
RG_UMNG_40,Tree_40,Resistrograph,Unmanaged,15.28
RG_UMNG_41,Tree_41,Resistrograph,Unmanaged,11.89
RG_UMNG_42,Tree_42,Resistrograph,Unmanaged,9.87
RG_UMNG_43,Tree_43,Resistrograph,Unmanaged,15.435
RG_UMNG_44,Tree_44,Resistrograph,Unmanaged,8.62
RG_UMNG_45,Tree_45,Resistrograph,Unmanaged,12.71
RG_UMNG_46,Tree_46,Resistrograph,Unmanaged,10.28
RG_UMNG_47,Tree_47,Resistrograph,Unmanaged,8.19
RG_UMNG_48,Tree_48,Resistrograph,Unmanaged,9.37
RG_UMNG_49,Tree_49,Resistrograph,Unmanaged,8.28
RG_UMNG_50,Tree_50,Resistrograph,Unmanaged,14.61
MS_MNG_01,Tree_01,Microsecond,Managed,2.071
MS_MNG_02,Tree_02,Microsecond,Managed,2.135
MS_MNG_03,Tree_03,Microsecond,Managed,1.714
MS_MNG_04,Tree_04,Microsecond,Managed,1.634
MS_MNG_05,Tree_05,Microsecond,Managed,1.965
MS_MNG_06,Tree_06,Microsecond,Managed,1.669
MS_MNG_07,Tree_07,Microsecond,Managed,1.591
MS_MNG_08,Tree_08,Microsecond,Managed,1.641
MS_MNG_09,Tree_09,Microsecond,Managed,1.891
MS_MNG_10,Tree_10,Microsecond,Managed,1.738
MS_MNG_11,Tree_11,Microsecond,Managed,1.95
MS_MNG_12,Tree_12,Microsecond,Managed,1.924
MS_MNG_13,Tree_13,Microsecond,Managed,1.88
MS_MNG_14,Tree_14,Microsecond,Managed,1.709
MS_MNG_15,Tree_15,Microsecond,Managed,1.634
MS_MNG_16,Tree_16,Microsecond,Managed,1.676
MS_MNG_17,Tree_17,Microsecond,Managed,1.8
MS_MNG_18,Tree_18,Microsecond,Managed,1.451
MS_MNG_19,Tree_19,Microsecond,Managed,1.777
MS_MNG_20,Tree_20,Microsecond,Managed,1.627
MS_MNG_21,Tree_21,Microsecond,Managed,1.78
MS_MNG_22,Tree_22,Microsecond,Managed,1.694
MS_MNG_23,Tree_23,Microsecond,Managed,1.758
MS_MNG_24,Tree_24,Microsecond,Managed,1.626
MS_MNG_25,Tree_25,Microsecond,Managed,1.751
MS_MNG_26,Tree_26,Microsecond,Managed,1.771
MS_MNG_27,Tree_27,Microsecond,Managed,1.745
MS_MNG_28,Tree_28,Microsecond,Managed,1.559
MS_MNG_29,Tree_29,Microsecond,Managed,1.724
MS_MNG_30,Tree_30,Microsecond,Managed,1.732
MS_MNG_31,Tree_31,Microsecond,Managed,1.697
MS_MNG_32,Tree_32,Microsecond,Managed,1.585
MS_MNG_33,Tree_33,Microsecond,Managed,1.638
MS_MNG_34,Tree_34,Microsecond,Managed,1.678
MS_MNG_35,Tree_35,Microsecond,Managed,2.221
MS_MNG_36,Tree_36,Microsecond,Managed,1.833
MS_MNG_37,Tree_37,Microsecond,Managed,2.099
MS_MNG_38,Tree_38,Microsecond,Managed,1.714
MS_MNG_39,Tree_39,Microsecond,Managed,2.058
MS_MNG_40,Tree_40,Microsecond,Managed,2.065
MS_MNG_41,Tree_41,Microsecond,Managed,2.017
MS_MNG_42,Tree_42,Microsecond,Managed,1.748
MS_MNG_43,Tree_43,Microsecond,Managed,1.897
MS_MNG_44,Tree_44,Microsecond,Managed,1.919
MS_MNG_45,Tree_45,Microsecond,Managed,1.929
MS_MNG_46,Tree_46,Microsecond,Managed,1.847
MS_MNG_47,Tree_47,Microsecond,Managed,1.874
MS_MNG_48,Tree_48,Microsecond,Managed,1.824
MS_MNG_49,Tree_49,Microsecond,Managed,1.824
MS_MNG_50,Tree_50,Microsecond,Managed,1.812
MS_UMNG_01,Tree_01,Microsecond,Unmanaged,1.98
MS_UMNG_02,Tree_02,Microsecond,Unmanaged,1.77
MS_UMNG_03,Tree_03,Microsecond,Unmanaged,1.79
MS_UMNG_04,Tree_04,Microsecond,Unmanaged,1.96
MS_UMNG_05,Tree_05,Microsecond,Unmanaged,1.72
MS_UMNG_06,Tree_06,Microsecond,Unmanaged,1.96
MS_UMNG_07,Tree_07,Microsecond,Unmanaged,1.52
MS_UMNG_08,Tree_08,Microsecond,Unmanaged,1.41
MS_UMNG_09,Tree_09,Microsecond,Unmanaged,1.86
MS_UMNG_10,Tree_10,Microsecond,Unmanaged,1.5
MS_UMNG_11,Tree_11,Microsecond,Unmanaged,1.85
MS_UMNG_12,Tree_12,Microsecond,Unmanaged,2
MS_UMNG_13,Tree_13,Microsecond,Unmanaged,2.05
MS_UMNG_14,Tree_14,Microsecond,Unmanaged,1.77
MS_UMNG_15,Tree_15,Microsecond,Unmanaged,1.99
MS_UMNG_16,Tree_16,Microsecond,Unmanaged,1.58
MS_UMNG_17,Tree_17,Microsecond,Unmanaged,1.88
MS_UMNG_18,Tree_18,Microsecond,Unmanaged,1.83
MS_UMNG_19,Tree_19,Microsecond,Unmanaged,1.67
MS_UMNG_20,Tree_20,Microsecond,Unmanaged,1.55
MS_UMNG_21,Tree_21,Microsecond,Unmanaged,1.88
MS_UMNG_22,Tree_22,Microsecond,Unmanaged,1.76
MS_UMNG_23,Tree_23,Microsecond,Unmanaged,1.9
MS_UMNG_24,Tree_24,Microsecond,Unmanaged,1.92
MS_UMNG_25,Tree_25,Microsecond,Unmanaged,1.97
MS_UMNG_26,Tree_26,Microsecond,Unmanaged,1.83
MS_UMNG_27,Tree_27,Microsecond,Unmanaged,2.12
MS_UMNG_28,Tree_28,Microsecond,Unmanaged,1.86
MS_UMNG_29,Tree_29,Microsecond,Unmanaged,1.88
MS_UMNG_30,Tree_30,Microsecond,Unmanaged,2.07
MS_UMNG_31,Tree_31,Microsecond,Unmanaged,1.85
MS_UMNG_32,Tree_32,Microsecond,Unmanaged,2.1
MS_UMNG_33,Tree_33,Microsecond,Unmanaged,1.65
MS_UMNG_34,Tree_34,Microsecond,Unmanaged,1.56
MS_UMNG_35,Tree_35,Microsecond,Unmanaged,2
MS_UMNG_36,Tree_36,Microsecond,Unmanaged,1.64
MS_UMNG_37,Tree_37,Microsecond,Unmanaged,1.96
MS_UMNG_38,Tree_38,Microsecond,Unmanaged,2.11
MS_UMNG_39,Tree_39,Microsecond,Unmanaged,2.2
MS_UMNG_40,Tree_40,Microsecond,Unmanaged,1.89
MS_UMNG_41,Tree_41,Microsecond,Unmanaged,2.09
MS_UMNG_42,Tree_42,Microsecond,Unmanaged,1.7
MS_UMNG_43,Tree_43,Microsecond,Unmanaged,1.97
MS_UMNG_44,Tree_44,Microsecond,Unmanaged,1.93
MS_UMNG_45,Tree_45,Microsecond,Unmanaged,1.77
MS_UMNG_46,Tree_46,Microsecond,Unmanaged,1.64
MS_UMNG_47,Tree_47,Microsecond,Unmanaged,1.99
MS_UMNG_48,Tree_48,Microsecond,Unmanaged,1.85
MS_UMNG_49,Tree_49,Microsecond,Unmanaged,2
MS_UMNG_50,Tree_50,Microsecond,Unmanaged,2.03
